accuracy,brier_score,log_loss,roc_auc,calibration_error,model_name,feature_count,model_kind,avg_predicted_probability,min_predicted_probability,max_predicted_probability,"bucket_(0.2, 0.3]","bucket_(0.3, 0.4]","bucket_(0.4, 0.5]","bucket_(0.5, 0.6]","bucket_(0.6, 0.7]","bucket_(0.7, 0.8]","bucket_(0.8, 0.9]","bucket_(0.1, 0.2]","bucket_(0.9, 1.0]",home_team_baseline_log_loss,elo_baseline_log_loss,team_only_model_log_loss,sportsbook_benchmark_log_loss,beats_home_team_baseline,beats_elo_baseline,beats_team_only_model,beats_sportsbook_benchmark,row_type,probability_bucket,games,realized_home_win_rate
,,,,,elo_only,,,0.18768548067791596,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",9.0,0.3333333333333333
,,,,,elo_only,,,0.2582219740338169,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",82.0,0.25609756097560976
,,,,,elo_only,,,0.3616174141024766,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",141.0,0.3617021276595745
,,,,,elo_only,,,0.4512902459193293,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",218.0,0.44954128440366975
,,,,,elo_only,,,0.5529675250882453,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",224.0,0.5223214285714286
,,,,,elo_only,,,0.6473115793964491,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",240.0,0.675
,,,,,elo_only,,,0.7472877810820789,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",214.0,0.6635514018691588
,,,,,elo_only,,,0.8379929965192595,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",96.0,0.7395833333333334
,,,,,elo_only,,,0.910997404660349,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",6.0,0.6666666666666666
,,,,,rolling_team_stats_only,,,0.1507185614898246,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",2.0,0.0
,,,,,rolling_team_stats_only,,,0.2626727726335093,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",51.0,0.4117647058823529
,,,,,rolling_team_stats_only,,,0.35584077300341604,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",121.0,0.35537190082644626
,,,,,rolling_team_stats_only,,,0.4524006609707014,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",226.0,0.4336283185840708
,,,,,rolling_team_stats_only,,,0.5518960752845727,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",248.0,0.532258064516129
,,,,,rolling_team_stats_only,,,0.6454054942470453,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",280.0,0.6107142857142858
,,,,,rolling_team_stats_only,,,0.7476707236442214,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",200.0,0.655
,,,,,rolling_team_stats_only,,,0.8363060494380089,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",96.0,0.7291666666666666
,,,,,rolling_team_stats_only,,,0.9180412616820463,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",6.0,0.5
,,,,,rest_and_schedule_only,,,0.25975294864774756,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",26.0,0.6923076923076923
,,,,,rest_and_schedule_only,,,0.35659095539130087,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",134.0,0.4925373134328358
,,,,,rest_and_schedule_only,,,0.45170779812703715,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.4, 0.5]",264.0,0.48863636363636365
,,,,,rest_and_schedule_only,,,0.549851159220989,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.5, 0.6]",301.0,0.5016611295681063
,,,,,rest_and_schedule_only,,,0.6507461678780132,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.6, 0.7]",267.0,0.5842696629213483
,,,,,rest_and_schedule_only,,,0.7392124999241401,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.7, 0.8]",187.0,0.6149732620320856
,,,,,rest_and_schedule_only,,,0.8356633768292943,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.8, 0.9]",49.0,0.6530612244897959
,,,,,rest_and_schedule_only,,,0.9190202692046663,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.9, 1.0]",2.0,1.0
,,,,,player_features_only,,,0.17047990757761658,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.1, 0.2]",7.0,0.42857142857142855
,,,,,player_features_only,,,0.2614844488005409,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.2, 0.3]",53.0,0.3018867924528302
,,,,,player_features_only,,,0.3564178184406613,,,,,,,,,,,,,,,,,,,,calibration_bucket,"(0.3, 0.4]",147.0,0.35374149659863946
